mu0 A1 A2 dim_unstable
2.53 -0.410690475500305 -0.410690475500305 1
2.54 -0.41150131632029235 -0.41150131632029235 1
2.55 -0.412310562561766 -0.412310562561766 1
2.56 -0.4131182235954578 -0.4131182235954578 1
2.57 -0.413924308700677 -0.413924308700677 1
2.58 -0.4147288270665544 -0.4147288270665544 1
2.59 -0.41553178779326455 -0.41553178779326455 1
2.6 -0.41633319989322654 -0.41633319989322654 1
2.61 -0.4171330722922842 -0.4171330722922842 1
2.62 -0.4179314138308661 -0.4179314138308661 1
2.63 -0.4187282332651254 -0.4187282332651254 1
2.64 -0.41952353926806063 -0.41952353926806063 1
2.65 -0.42031734043061636 -0.42031734043061636 1
2.66 -0.4211096452627669 -0.4211096452627669 1
2.67 -0.4219004621945797 -0.4219004621945797 1
2.68 -0.42268979957726294 -0.42268979957726294 1
2.69 -0.42347766568419326 -0.42347766568419326 1
2.7 -0.4242640687119285 -0.4242640687119285 1
2.71 -0.4250490167812021 -0.4250490167812021 1
2.72 -0.4258325179379017 -0.4258325179379017 1
2.73 -0.4266145801540308 -0.4266145801540308 1
2.74 -0.4273952113286562 -0.4273952113286562 1
2.75 -0.42817441928883765 -0.42817441928883765 1
2.76 -0.4289522117905443 -0.4289522117905443 1
2.77 -0.4297285965195552 -0.4297285965195552 1
2.78 -0.43050358109234504 -0.43050358109234504 1
2.79 -0.4312771730569565 -0.4312771730569565 1
2.8 -0.43204937989385733 -0.43204937989385733 1
2.81 -0.43282020901678486 -0.43282020901678486 1
2.82 -0.43358966777357594 -0.43358966777357594 1
2.83 -0.4343577634469847 -0.4343577634469847 1
2.84 -0.43512450325548585 -0.43512450325548585 1
2.85 -0.4358898943540674 -0.4358898943540674 1
2.86 -0.4366539438350084 -0.4366539438350084 1
2.87 -0.43741665872864666 -0.43741665872864666 1
2.88 -0.43817804600413285 -0.43817804600413285 1
2.89 -0.4389381125701739 -0.4389381125701739 1
2.9 -0.43969686527576396 -0.43969686527576396 1
2.91 -0.44045431091090487 -0.44045431091090487 1
2.92 -0.4412104562073146 -0.4412104562073146 1
2.93 -0.44196530783912596 -0.44196530783912596 1
2.94 -0.44271887242357316 -0.44271887242357316 1
2.95 -0.443471156521669 -0.443471156521669 1
2.96 -0.4442221666388715 -0.4442221666388715 1
2.97 -0.4449719092257398 -0.4449719092257398 1
2.98 -0.44572039067858077 -0.44572039067858077 1
2.99 -0.4464676173400859 -0.4464676173400859 1
3.0 -0.447213595499958 -0.447213595499958 1
3.01 -0.44795833139552904 -0.44795833139552904 1
3.02 -0.44870183121236906 -0.44870183121236906 1
3.03 -0.4494441010848846 -0.4494441010848846 1
3.04 -0.4501851470969102 -0.4501851470969102 1
3.05 -0.4509249752822894 -0.4509249752822894 1
3.06 -0.4516635916254486 -0.4516635916254486 1
3.07 -0.45240100206196127 -0.45240100206196127 1
3.08 -0.45313721247910477 -0.45313721247910477 1
3.09 -0.4538722287164087 -0.4538722287164087 1
3.1 -0.4546060565661952 -0.4546060565661952 1
3.11 -0.4553387017741116 -0.4553387017741116 1
3.12 -0.45607017003965516 -0.45607017003965516 1
3.13 -0.4568004670166906 -0.4568004670166906 1
3.14 -0.45752959831395973 -0.45752959831395973 1
3.15 -0.458257569495584 -0.458257569495584 1
3.16 -0.4589843860815602 -0.4589843860815602 1
3.17 -0.4597100535482483 -0.4597100535482483 1
3.18 -0.4604345773288535 -0.4604345773288535 1
3.19 -0.46115796281390037 -0.46115796281390037 1
3.2 -0.4618802153517006 -0.4618802153517006 1
3.21 -0.4626013402488151 -0.4626013402488151 1
3.22 -0.4633213427705081 -0.4633213427705081 1
3.23 -0.46404022814119616 -0.46404022814119616 1
3.24 -0.46475800154489005 -0.46475800154489005 1
3.25 -0.4654746681256314 -0.4654746681256314 1
3.26 -0.46619023298792234 -0.46619023298792234 1
3.27 -0.46690470119715005 -0.46690470119715005 1
3.28 -0.4676180777800048 -0.4676180777800048 1
3.29 -0.46833036772489284 -0.46833036772489284 1
3.3 -0.4690415759823429 -0.4690415759823429 1
3.31 -0.46975170746540845 -0.46975170746540845 1
3.32 -0.4704607670500627 -0.4704607670500627 1
3.33 -0.47116875957558985 -0.47116875957558985 1
